date,country,category,raw_value,tone,article_count
2025-05-07,Germany,negativity,35.1,-2.9,67.6
2025-05-08,Germany,protest,33.2,-3.6,66.8
2025-05-08,Germany,crisis,37.0,-3.0,71.1
2025-05-08,Germany,negativity,36.6,-3.7,73.4
2025-05-09,Germany,protest,32.9,-2.5,79.9
2025-05-09,Germany,crisis,36.5,-3.4,83.1
2025-05-09,Germany,negativity,36.2,-2.7,75.7
2025-05-10,Germany,protest,31.7,-2.7,70.4
2025-05-10,Germany,crisis,35.5,-3.5,84.7
2025-05-10,Germany,negativity,35.4,-2.7,79.3
2025-05-11,Germany,protest,31.0,-2.4,74.8
2025-05-11,Germany,crisis,33.6,-3.0,65.2
2025-05-11,Germany,negativity,35.6,-3.0,64.2
2025-05-12,Germany,protest,32.3,-2.2,76.0
2025-05-12,Germany,crisis,35.4,-3.5,72.9
2025-05-12,Germany,negativity,32.5,-3.5,62.2
2025-05-13,Germany,protest,32.2,-2.3,66.1
2025-05-13,Germany,crisis,39.7,-4.0,76.1
2025-05-13,Germany,negativity,37.8,-3.3,78.0
2025-05-14,Germany,protest,34.5,-3.1,74.5
2025-05-14,Germany,crisis,38.1,-3.6,81.6
2025-05-14,Germany,negativity,37.3,-4.1,69.7
2025-05-15,Germany,protest,33.6,-3.6,63.2
2025-05-15,Germany,crisis,40.6,-3.1,88.8
2025-05-15,Germany,negativity,35.7,-3.7,82.9
2025-05-16,Germany,protest,34.3,-3.0,75.4
2025-05-16,Germany,crisis,37.9,-4.1,69.9
2025-05-16,Germany,negativity,38.0,-3.3,70.7
2025-05-17,Germany,protest,30.9,-3.3,65.0
2025-05-17,Germany,crisis,38.0,-3.2,68.5
2025-05-17,Germany,negativity,33.1,-3.0,60.9
2025-05-18,Germany,protest,33.9,-2.7,74.7
2025-05-18,Germany,crisis,36.6,-3.1,85.9
2025-05-18,Germany,negativity,33.7,-2.6,64.1
2025-05-19,Germany,protest,31.6,-3.1,77.6
2025-05-19,Germany,crisis,37.2,-3.2,68.8
2025-05-19,Germany,negativity,32.4,-3.4,76.8
2025-05-20,Germany,protest,34.5,-2.5,77.3
2025-05-20,Germany,crisis,39.9,-3.7,83.7
2025-05-20,Germany,negativity,37.7,-3.4,86.1
2025-05-21,Germany,protest,33.4,-2.7,61.9
2025-05-21,Germany,crisis,36.8,-3.6,80.8
2025-05-21,Germany,negativity,37.6,-3.3,78.5
2025-05-22,Germany,protest,37.1,-3.1,79.1
2025-05-22,Germany,crisis,39.8,-4.2,70.3
2025-05-22,Germany,negativity,38.2,-2.9,72.8
2025-05-23,Germany,protest,34.8,-2.6,80.6
2025-05-23,Germany,crisis,36.4,-2.8,82.0
2025-05-23,Germany,negativity,34.9,-3.9,81.1
2025-05-24,Germany,protest,33.0,-3.3,80.3
2025-05-24,Germany,crisis,35.5,-3.8,73.6
2025-05-24,Germany,negativity,34.6,-3.5,74.5
2025-05-25,Germany,protest,29.6,-2.2,65.9
2025-05-25,Germany,crisis,35.3,-3.1,65.2
2025-05-25,Germany,negativity,32.7,-2.6,74.3
2025-05-26,Germany,protest,32.1,-3.2,65.6
2025-05-26,Germany,crisis,37.6,-2.8,84.5
2025-05-26,Germany,negativity,33.6,-2.8,73.2
2025-05-27,Germany,protest,31.4,-3.5,74.2
2025-05-27,Germany,crisis,34.8,-3.2,61.8
2025-05-27,Germany,negativity,32.7,-3.2,77.8
2025-05-28,Germany,protest,32.2,-2.9,64.9
2025-05-28,Germany,crisis,35.8,-2.8,77.8
2025-05-28,Germany,negativity,37.8,-3.0,72.9
2025-05-29,Germany,protest,32.1,-2.4,73.9
2025-05-29,Germany,crisis,39.7,-3.2,85.3
2025-05-29,Germany,negativity,36.2,-3.7,83.7
2025-05-30,Germany,protest,32.5,-3.2,73.9
2025-05-30,Germany,crisis,35.1,-2.7,75.3
2025-05-30,Germany,negativity,34.7,-3.6,79.3
2025-05-31,Germany,protest,29.3,-2.0,60.9
2025-05-31,Germany,crisis,34.4,-2.5,66.7
2025-05-31,Germany,negativity,33.9,-3.3,65.1
2025-06-01,Germany,protest,29.5,-3.0,65.8
2025-06-01,Germany,crisis,32.7,-3.4,75.7
2025-06-01,Germany,negativity,30.1,-2.6,59.5
2025-06-02,Germany,protest,32.8,-2.4,76.7
2025-06-02,Germany,crisis,33.9,-2.8,77.6
2025-06-02,Germany,negativity,31.1,-2.1,58.0
2025-06-03,Germany,protest,33.8,-3.1,69.5
2025-06-03,Germany,crisis,34.2,-3.5,72.3
2025-06-03,Germany,negativity,35.9,-2.6,78.9
2025-06-04,Germany,protest,35.5,-3.4,83.8
2025-06-04,Germany,crisis,34.5,-3.5,82.8
2025-06-04,Germany,negativity,34.5,-3.6,62.1
2025-06-05,Germany,protest,33.2,-3.1,63.0
2025-06-05,Germany,crisis,38.4,-4.1,80.6
2025-06-05,Germany,negativity,36.5,-3.6,77.4
2025-06-06,Germany,protest,32.0,-2.5,68.4
2025-06-06,Germany,crisis,35.7,-2.8,81.4
2025-06-06,Germany,negativity,32.0,-2.8,69.5
2025-06-07,Germany,protest,30.9,-3.0,76.7
2025-06-07,Germany,crisis,35.2,-3.2,62.6
2025-06-07,Germany,negativity,32.5,-3.3,76.1
2025-06-08,Germany,protest,29.0,-2.4,73.6
2025-06-08,Germany,crisis,32.2,-2.9,78.5
2025-06-08,Germany,negativity,28.4,-3.1,68.6
2025-06-09,Germany,protest,28.1,-3.1,58.5
2025-06-09,Germany,crisis,32.9,-2.5,66.4
2025-06-09,Germany,negativity,30.4,-2.6,73.0
2025-06-10,Germany,protest,28.5,-2.5,64.0
2025-06-10,Germany,crisis,35.3,-3.0,68.8
2025-06-10,Germany,negativity,30.8,-3.1,55.5
2025-06-11,Germany,protest,32.2,-3.3,79.4
2025-06-11,Germany,crisis,36.0,-2.6,80.9
2025-06-11,Germany,negativity,31.3,-2.5,63.2
2025-06-12,Germany,protest,33.7,-3.7,60.3
2025-06-12,Germany,crisis,36.6,-3.1,67.3
2025-06-12,Germany,negativity,35.9,-3.7,83.8
2025-06-13,Germany,protest,30.0,-2.5,70.6
2025-06-13,Germany,crisis,32.5,-3.6,71.5
2025-06-13,Germany,negativity,32.4,-2.5,75.5
2025-06-14,Germany,protest,30.7,-2.5,58.0
2025-06-14,Germany,crisis,33.6,-2.7,67.9
2025-06-14,Germany,negativity,32.6,-2.5,71.1
2025-06-15,Germany,protest,28.3,-2.9,54.2
2025-06-15,Germany,crisis,32.3,-3.5,58.2
2025-06-15,Germany,negativity,31.4,-3.3,58.0
2025-06-16,Germany,protest,28.1,-2.7,62.1
2025-06-16,Germany,crisis,32.7,-3.2,77.7
2025-06-16,Germany,negativity,28.9,-2.0,56.7
2025-06-17,Germany,protest,27.4,-2.6,68.6
2025-06-17,Germany,crisis,35.0,-3.0,75.7
2025-06-17,Germany,negativity,32.7,-2.6,76.7
2025-06-18,Germany,protest,33.0,-2.8,77.7
2025-06-18,Germany,crisis,34.3,-3.6,74.6
2025-06-18,Germany,negativity,30.7,-3.1,68.3
2025-06-19,Germany,protest,32.2,-2.6,60.1
2025-06-19,Germany,crisis,37.0,-3.5,67.5
2025-06-19,Germany,negativity,34.4,-2.6,79.7
2025-06-20,Germany,protest,29.8,-3.0,70.2
2025-06-20,Germany,crisis,35.2,-3.1,73.4
2025-06-20,Germany,negativity,30.7,-2.5,75.6
2025-06-21,Germany,protest,30.8,-2.8,75.8
2025-06-21,Germany,crisis,32.2,-2.7,64.3
2025-06-21,Germany,negativity,31.5,-2.6,59.0
2025-06-22,Germany,protest,29.6,-2.2,67.4
2025-06-22,Germany,crisis,29.8,-3.4,60.1
2025-06-22,Germany,negativity,31.2,-2.5,68.8
2025-06-23,Germany,protest,27.2,-1.8,58.0
2025-06-23,Germany,crisis,31.2,-3.1,73.9
2025-06-23,Germany,negativity,29.9,-3.4,63.1
2025-06-24,Germany,protest,31.2,-2.2,56.9
2025-06-24,Germany,crisis,33.8,-3.3,80.5
2025-06-24,Germany,negativity,32.1,-2.9,57.9
2025-06-25,Germany,protest,32.9,-3.6,61.9
2025-06-25,Germany,crisis,37.2,-3.2,85.6
2025-06-25,Germany,negativity,35.0,-3.3,73.3
2025-06-26,Germany,protest,33.5,-3.3,68.8
2025-06-26,Germany,crisis,35.9,-3.0,75.3
2025-06-26,Germany,negativity,32.2,-3.0,62.8
2025-06-27,Germany,protest,31.5,-3.2,62.7
2025-06-27,Germany,crisis,35.4,-2.6,66.8
2025-06-27,Germany,negativity,33.6,-3.5,66.0
2025-06-28,Germany,protest,31.0,-2.3,61.6
2025-06-28,Germany,crisis,31.4,-2.5,70.3
2025-06-28,Germany,negativity,33.5,-3.2,81.3
2025-06-29,Germany,protest,27.0,-3.1,49.4
2025-06-29,Germany,crisis,30.7,-2.6,61.5
2025-06-29,Germany,negativity,30.5,-2.5,68.2
2025-06-30,Germany,protest,27.4,-3.0,65.2
2025-06-30,Germany,crisis,34.0,-2.5,72.0
2025-06-30,Germany,negativity,30.1,-3.0,74.9
2025-07-01,Germany,protest,31.1,-3.3,57.1
2025-07-01,Germany,crisis,34.7,-3.0,79.2
2025-07-01,Germany,negativity,34.1,-3.2,68.6
2025-07-02,Germany,protest,33.4,-3.7,70.2
2025-07-02,Germany,crisis,34.6,-3.8,66.2
2025-07-02,Germany,negativity,34.8,-3.2,79.7
2025-07-03,Germany,protest,34.3,-2.6,77.9
2025-07-03,Germany,crisis,38.5,-3.7,84.5
2025-07-03,Germany,negativity,34.2,-2.7,80.9
2025-07-04,Germany,protest,34.8,-2.9,82.4
2025-07-04,Germany,crisis,38.5,-3.3,74.2
2025-07-04,Germany,negativity,33.2,-2.7,67.2
2025-07-05,Germany,protest,33.4,-3.3,71.6
2025-07-05,Germany,crisis,34.2,-3.3,74.7
2025-07-05,Germany,negativity,35.4,-3.5,79.1
2025-07-06,Germany,protest,31.2,-3.1,69.2
2025-07-06,Germany,crisis,34.1,-3.1,63.6
2025-07-06,Germany,negativity,33.2,-2.8,71.6
2025-07-07,Germany,protest,29.0,-2.6,69.3
2025-07-07,Germany,crisis,36.6,-4.0,85.0
2025-07-07,Germany,negativity,33.0,-3.6,77.6
2025-07-08,Germany,protest,35.4,-3.6,71.1
2025-07-08,Germany,crisis,37.8,-3.1,81.7
2025-07-08,Germany,negativity,35.8,-3.9,66.1
2025-07-09,Germany,protest,35.2,-2.6,79.0
2025-07-09,Germany,crisis,40.3,-3.6,87.9
2025-07-09,Germany,negativity,37.7,-3.4,85.8
2025-07-10,Germany,protest,37.4,-3.1,74.5
2025-07-10,Germany,crisis,37.2,-3.9,73.9
2025-07-10,Germany,negativity,39.9,-3.4,86.5
2025-07-11,Germany,protest,36.0,-3.7,79.7
2025-07-11,Germany,crisis,37.6,-3.6,81.5
2025-07-11,Germany,negativity,36.2,-2.7,79.3
2025-07-12,Germany,protest,31.5,-3.0,63.3
2025-07-12,Germany,crisis,37.4,-3.1,80.3
2025-07-12,Germany,negativity,37.5,-4.1,67.8
2025-07-13,Germany,protest,33.8,-3.0,71.5
2025-07-13,Germany,crisis,38.5,-3.5,76.0
2025-07-13,Germany,negativity,37.0,-3.7,72.7
2025-07-14,Germany,protest,33.7,-3.4,71.0
2025-07-14,Germany,crisis,37.1,-3.5,82.2
2025-07-14,Germany,negativity,34.3,-2.9,69.9
2025-07-15,Germany,protest,34.4,-2.6,78.5
2025-07-15,Germany,crisis,38.0,-3.7,76.7
2025-07-15,Germany,negativity,38.8,-3.9,84.9
2025-07-16,Germany,protest,35.9,-2.7,72.4
2025-07-16,Germany,crisis,42.3,-4.4,83.7
2025-07-16,Germany,negativity,39.1,-3.3,83.4
2025-07-17,Germany,protest,38.2,-4.1,81.5
2025-07-17,Germany,crisis,43.6,-3.6,78.7
2025-07-17,Germany,negativity,41.9,-3.4,93.7
2025-07-18,Germany,protest,37.4,-3.9,66.8
2025-07-18,Germany,crisis,43.5,-4.1,89.5
2025-07-18,Germany,negativity,40.4,-3.1,91.9
2025-07-19,Germany,protest,37.7,-3.6,82.8
2025-07-19,Germany,crisis,39.4,-3.2,74.1
2025-07-19,Germany,negativity,37.6,-4.0,87.8
2025-07-20,Germany,protest,36.0,-3.2,70.3
2025-07-20,Germany,crisis,39.6,-3.3,81.2
2025-07-20,Germany,negativity,39.2,-4.2,90.2
2025-07-21,Germany,protest,35.9,-3.0,73.0
2025-07-21,Germany,crisis,42.8,-3.3,87.5
2025-07-21,Germany,negativity,36.5,-3.3,66.6
2025-07-22,Germany,protest,35.9,-3.8,69.4
2025-07-22,Germany,crisis,41.4,-3.4,94.3
2025-07-22,Germany,negativity,39.2,-4.2,72.1
2025-07-23,Germany,protest,38.5,-3.7,74.6
2025-07-23,Germany,crisis,42.4,-4.4,81.6
2025-07-23,Germany,negativity,44.4,-3.8,78.4
2025-07-24,Germany,protest,40.2,-3.9,91.8
2025-07-24,Germany,crisis,45.6,-4.3,98.4
2025-07-24,Germany,negativity,44.1,-3.9,94.8
2025-07-25,Germany,protest,39.1,-3.1,80.1
2025-07-25,Germany,crisis,42.0,-3.2,82.9
2025-07-25,Germany,negativity,42.8,-4.5,76.8
2025-07-26,Germany,protest,37.1,-3.1,67.8
2025-07-26,Germany,crisis,41.2,-3.5,73.8
2025-07-26,Germany,negativity,38.6,-3.9,81.7
2025-07-27,Germany,protest,35.6,-3.6,74.2
2025-07-27,Germany,crisis,42.7,-4.2,84.4
2025-07-27,Germany,negativity,39.6,-3.9,80.2
2025-07-28,Germany,protest,37.9,-3.0,76.7
2025-07-28,Germany,crisis,44.5,-3.9,95.1
2025-07-28,Germany,negativity,40.7,-3.9,81.9
2025-07-29,Germany,protest,40.5,-4.2,79.2
2025-07-29,Germany,crisis,44.1,-4.4,87.2
2025-07-29,Germany,negativity,42.0,-3.5,75.2
2025-07-30,Germany,protest,41.3,-3.4,80.4
2025-07-30,Germany,crisis,46.7,-3.8,92.7
2025-07-30,Germany,negativity,42.8,-4.1,90.5
2025-07-31,Germany,protest,42.6,-4.2,93.2
2025-07-31,Germany,crisis,47.7,-4.6,102.5
2025-07-31,Germany,negativity,43.2,-4.3,84.1
2025-08-01,Germany,protest,41.0,-3.5,84.9
2025-08-01,Germany,crisis,45.6,-4.2,90.1
2025-08-01,Germany,negativity,41.4,-3.7,75.0
2025-08-02,Germany,protest,38.3,-4.0,83.4
2025-08-02,Germany,crisis,43.2,-3.4,84.1
2025-08-02,Germany,negativity,42.9,-4.3,94.1
2025-08-03,Germany,protest,39.4,-4.0,73.0
2025-08-03,Germany,crisis,43.8,-4.6,83.6
2025-08-03,Germany,negativity,42.4,-4.4,87.5
2025-08-04,Germany,protest,38.0,-4.1,67.1
2025-08-04,Germany,crisis,44.3,-4.0,78.8
2025-08-04,Germany,negativity,43.0,-3.8,91.1
2025-08-05,Germany,protest,42.7,-3.3,82.7
2025-08-05,Germany,crisis,43.0,-4.2,95.1
2025-08-05,Germany,negativity,40.8,-3.8,76.8
2025-08-06,Germany,protest,42.6,-3.9,92.5
2025-08-06,Germany,crisis,48.0,-4.0,97.4
2025-08-06,Germany,negativity,43.2,-3.6,93.3
2025-08-07,Germany,protest,43.2,-4.3,96.5
2025-08-07,Germany,crisis,45.8,-3.8,80.3
2025-08-07,Germany,negativity,43.5,-4.4,88.0
2025-08-08,Germany,protest,42.5,-3.8,83.4
2025-08-08,Germany,crisis,48.2,-4.6,98.2
2025-08-08,Germany,negativity,43.9,-4.1,88.3
2025-08-09,Germany,protest,37.7,-3.5,75.7
2025-08-09,Germany,crisis,45.9,-3.7,85.8
2025-08-09,Germany,negativity,44.1,-3.4,93.9
2025-08-10,Germany,protest,39.7,-4.2,81.2
2025-08-10,Germany,crisis,43.4,-4.6,84.5
2025-08-10,Germany,negativity,39.1,-3.2,81.2
2025-08-11,Germany,protest,37.8,-2.9,86.7
2025-08-11,Germany,crisis,40.6,-4.0,91.3
2025-08-11,Germany,negativity,39.8,-3.2,79.0
2025-08-12,Germany,protest,40.1,-3.9,87.0
2025-08-12,Germany,crisis,45.0,-3.7,82.2
2025-08-12,Germany,negativity,40.0,-3.2,73.1
2025-08-13,Germany,protest,40.8,-3.5,87.9
2025-08-13,Germany,crisis,48.2,-4.6,95.8
2025-08-13,Germany,negativity,41.5,-3.8,90.4
2025-08-14,Germany,protest,43.7,-4.6,84.2
2025-08-14,Germany,crisis,43.9,-4.4,95.8
2025-08-14,Germany,negativity,41.8,-4.2,91.0
2025-08-15,Germany,protest,40.2,-3.8,75.8
2025-08-15,Germany,crisis,44.2,-4.5,86.9
2025-08-15,Germany,negativity,43.0,-4.0,93.1
2025-08-16,Germany,protest,36.1,-3.8,80.7
2025-08-16,Germany,crisis,40.4,-3.5,87.3
2025-08-16,Germany,negativity,39.8,-3.3,73.4
2025-08-17,Germany,protest,36.4,-3.3,67.7
2025-08-17,Germany,crisis,40.0,-3.7,73.3
2025-08-17,Germany,negativity,40.7,-4.1,75.4
2025-08-18,Germany,protest,35.1,-3.0,82.2
2025-08-18,Germany,crisis,40.0,-3.2,74.2
2025-08-18,Germany,negativity,37.3,-3.6,71.3
2025-08-19,Germany,protest,37.5,-2.9,83.2
2025-08-19,Germany,crisis,40.9,-3.8,78.0
2025-08-19,Germany,negativity,41.3,-4.2,90.8
2025-08-20,Germany,protest,40.6,-3.7,92.3
2025-08-20,Germany,crisis,43.3,-3.4,85.0
2025-08-20,Germany,negativity,43.9,-3.5,86.6
2025-08-21,Germany,protest,41.2,-3.8,84.5
2025-08-21,Germany,crisis,45.3,-3.9,79.4
2025-08-21,Germany,negativity,40.2,-3.9,79.4
2025-08-22,Germany,protest,37.0,-2.9,82.4
2025-08-22,Germany,crisis,41.1,-3.9,92.6
2025-08-22,Germany,negativity,42.5,-3.2,90.3
2025-08-23,Germany,protest,34.7,-3.8,76.9
2025-08-23,Germany,crisis,38.4,-2.9,73.3
2025-08-23,Germany,negativity,36.8,-3.4,85.7
2025-08-24,Germany,protest,34.6,-2.7,62.1
2025-08-24,Germany,crisis,36.5,-3.4,71.3
2025-08-24,Germany,negativity,39.0,-3.0,68.9
2025-08-25,Germany,protest,34.8,-3.8,73.3
2025-08-25,Germany,crisis,41.1,-4.4,78.8
2025-08-25,Germany,negativity,34.6,-2.6,76.9
2025-08-26,Germany,protest,38.1,-3.9,69.6
2025-08-26,Germany,crisis,38.9,-3.5,87.2
2025-08-26,Germany,negativity,40.1,-3.1,79.6
2025-08-27,Germany,protest,35.8,-2.8,83.5
2025-08-27,Germany,crisis,43.0,-3.8,82.5
2025-08-27,Germany,negativity,38.7,-3.8,86.4
2025-08-28,Germany,protest,34.9,-3.8,83.5
2025-08-28,Germany,crisis,42.8,-3.9,88.4
2025-08-28,Germany,negativity,39.2,-2.9,81.7
2025-08-29,Germany,protest,37.3,-4.0,74.1
2025-08-29,Germany,crisis,38.3,-4.1,87.4
2025-08-29,Germany,negativity,39.2,-3.6,87.9
2025-08-30,Germany,protest,32.9,-3.0,67.4
2025-08-30,Germany,crisis,35.3,-3.0,79.6
2025-08-30,Germany,negativity,35.1,-3.1,63.7
2025-08-31,Germany,protest,32.1,-2.9,73.0
2025-08-31,Germany,crisis,38.2,-4.0,72.2
2025-08-31,Germany,negativity,35.5,-3.4,82.7
2025-09-01,Germany,protest,34.7,-3.1,78.0
2025-09-01,Germany,crisis,35.1,-3.7,80.3
2025-09-01,Germany,negativity,33.6,-3.5,66.2
2025-09-02,Germany,protest,35.5,-2.8,74.1
2025-09-02,Germany,crisis,38.4,-4.2,87.3
2025-09-02,Germany,negativity,36.1,-3.8,78.7
2025-09-03,Germany,protest,33.8,-3.7,67.1
2025-09-03,Germany,crisis,37.8,-4.1,73.0
2025-09-03,Germany,negativity,37.5,-3.8,67.3
2025-09-04,Germany,protest,36.7,-3.0,71.9
2025-09-04,Germany,crisis,36.3,-3.0,71.7
2025-09-04,Germany,negativity,35.3,-3.6,70.3
2025-09-05,Germany,protest,32.4,-3.3,77.2
2025-09-05,Germany,crisis,38.6,-3.0,82.2
2025-09-05,Germany,negativity,33.3,-2.5,72.0
2025-09-06,Germany,protest,29.3,-3.3,62.7
2025-09-06,Germany,crisis,36.2,-2.7,74.4
2025-09-06,Germany,negativity,30.5,-2.4,56.7
2025-09-07,Germany,protest,32.1,-3.2,70.7
2025-09-07,Germany,crisis,35.0,-2.9,65.8
2025-09-07,Germany,negativity,30.1,-3.4,67.4
2025-09-08,Germany,protest,30.3,-2.2,66.2
2025-09-08,Germany,crisis,30.7,-2.6,72.3
2025-09-08,Germany,negativity,29.6,-2.1,63.3
2025-09-09,Germany,protest,30.7,-2.3,67.4
2025-09-09,Germany,crisis,32.7,-3.2,76.8
2025-09-09,Germany,negativity,31.2,-2.9,61.4
2025-09-10,Germany,protest,29.8,-2.4,74.9
2025-09-10,Germany,crisis,36.8,-3.9,67.2
2025-09-10,Germany,negativity,33.4,-3.7,78.6
2025-09-11,Germany,protest,33.2,-2.5,67.0
2025-09-11,Germany,crisis,35.6,-2.8,78.4
2025-09-11,Germany,negativity,33.5,-3.2,77.8
2025-09-12,Germany,protest,29.5,-2.0,61.8
2025-09-12,Germany,crisis,36.2,-2.9,79.6
2025-09-12,Germany,negativity,30.3,-2.4,66.3
2025-09-13,Germany,protest,29.6,-3.0,66.1
2025-09-13,Germany,crisis,32.9,-3.0,74.4
2025-09-13,Germany,negativity,30.7,-3.3,68.0
2025-09-14,Germany,protest,28.4,-2.2,60.3
2025-09-14,Germany,crisis,29.4,-3.1,63.0
2025-09-14,Germany,negativity,27.7,-2.8,51.4
2025-09-15,Germany,protest,26.0,-3.0,58.6
2025-09-15,Germany,crisis,28.4,-2.0,62.8
2025-09-15,Germany,negativity,28.7,-2.7,63.0
2025-09-16,Germany,protest,27.7,-2.2,56.6
2025-09-16,Germany,crisis,31.5,-3.3,76.2
2025-09-16,Germany,negativity,28.4,-2.3,53.8
2025-09-17,Germany,protest,29.0,-2.6,61.8
2025-09-17,Germany,crisis,32.4,-2.6,66.6
2025-09-17,Germany,negativity,30.5,-2.6,60.0
2025-09-18,Germany,protest,30.0,-3.0,66.7
2025-09-18,Germany,crisis,31.6,-2.7,56.6
2025-09-18,Germany,negativity,29.3,-2.9,70.7
2025-09-19,Germany,protest,27.5,-3.0,66.7
2025-09-19,Germany,crisis,32.5,-3.0,59.9
2025-09-19,Germany,negativity,32.2,-2.7,75.5
2025-09-20,Germany,protest,26.9,-2.9,56.6
2025-09-20,Germany,crisis,31.3,-2.7,77.8
2025-09-20,Germany,negativity,29.8,-2.7,67.1
2025-09-21,Germany,protest,24.3,-1.6,51.0
2025-09-21,Germany,crisis,27.6,-1.9,66.1
2025-09-21,Germany,negativity,25.5,-2.4,52.8
2025-09-22,Germany,protest,28.3,-3.2,63.4
2025-09-22,Germany,crisis,30.9,-2.3,73.8
2025-09-22,Germany,negativity,26.5,-3.0,52.6
2025-09-23,Germany,protest,25.8,-3.0,61.1
2025-09-23,Germany,crisis,29.7,-3.1,66.4
2025-09-23,Germany,negativity,27.6,-2.0,62.9
2025-09-24,Germany,protest,26.4,-2.9,50.4
2025-09-24,Germany,crisis,32.2,-3.6,62.2
2025-09-24,Germany,negativity,32.3,-2.9,73.8
2025-09-25,Germany,protest,29.5,-2.8,74.4
2025-09-25,Germany,crisis,33.6,-3.4,62.9
2025-09-25,Germany,negativity,29.5,-2.3,54.0
2025-09-26,Germany,protest,27.6,-2.6,61.1
2025-09-26,Germany,crisis,30.3,-2.9,60.3
2025-09-26,Germany,negativity,27.9,-2.1,65.2
2025-09-27,Germany,protest,27.3,-1.9,55.2
2025-09-27,Germany,crisis,29.1,-2.6,63.3
2025-09-27,Germany,negativity,28.0,-3.1,66.0
2025-09-28,Germany,protest,24.5,-2.0,64.7
2025-09-28,Germany,crisis,27.6,-3.2,51.9
2025-09-28,Germany,negativity,26.7,-1.8,66.5
2025-09-29,Germany,protest,26.1,-1.9,58.2
2025-09-29,Germany,crisis,28.9,-2.2,68.4
2025-09-29,Germany,negativity,27.8,-2.5,57.7
2025-09-30,Germany,protest,27.6,-2.2,52.7
2025-09-30,Germany,crisis,32.0,-2.5,72.4
2025-09-30,Germany,negativity,29.6,-2.3,64.4
2025-10-01,Germany,protest,29.5,-2.6,66.4
2025-10-01,Germany,crisis,29.3,-3.2,57.2
2025-10-01,Germany,negativity,29.3,-2.5,61.1
2025-10-02,Germany,protest,30.0,-2.2,56.6
2025-10-02,Germany,crisis,32.9,-2.9,72.1
2025-10-02,Germany,negativity,29.6,-2.7,54.9
2025-10-03,Germany,protest,29.2,-2.6,64.9
2025-10-03,Germany,crisis,31.7,-2.2,67.0
2025-10-03,Germany,negativity,29.4,-2.5,60.5
2025-10-04,Germany,protest,27.0,-2.7,64.2
2025-10-04,Germany,crisis,27.3,-2.0,52.4
2025-10-04,Germany,negativity,29.7,-2.2,62.2
2025-10-05,Germany,protest,26.0,-3.0,49.3
2025-10-05,Germany,crisis,27.2,-2.4,59.7
2025-10-05,Germany,negativity,25.8,-2.4,49.2
2025-10-06,Germany,protest,25.5,-3.0,48.7
2025-10-06,Germany,crisis,30.7,-2.5,66.5
2025-10-06,Germany,negativity,28.2,-3.2,67.7
