country,peak_rank,period_label,target_period_end,fusion_score,prominence_score,peak_width_periods,rise_slope,fall_slope,separation_periods,peak_quality_score,dominant_group,second_group,support_profile,support_breadth_ratio,dominant_group_share,fresh_contribution_share,stale_contribution_share,global_component_score,country_specific_component_score,global_share,country_specific_share,market_food_global_pressure,market_food_local_pressure,attribution_label,peak_confidence_score,peak_confidence_level,event_support_status,event_marker_count,event_marker_ids
Israel,2,2025-07,2025-07-31,66.68,2.86,1,2.86,8.27,5,3.4855,market_food,shock,broad,0.8571,0.2071,0.8112,0.0,59.948,6.732,0.899,0.101,0.2394,0.0,model_driven_peak,0.6786,high,not_event_validated,0,
Israel,3,2026-01,2026-01-31,70.45,0.17,1,0.17,13.91,1,3.0185,market_food,event,broad,0.7143,0.2181,0.8112,0.0,60.675,9.775,0.8612,0.1388,0.2323,0.0,model_driven_peak,0.6487,medium,not_event_validated,0,
Japan,1,2025-12,2025-12-31,37.56,1.55,1,8.85,1.55,5,2.955,market_food,shock,narrow,0.2857,0.3724,0.8316,0.0,37.56,0.0,1.0,0.0,0.2103,0.1621,model_driven_peak,0.4966,medium,not_event_validated,0,
Japan,2,2025-06,2025-06-30,37.11,0.0,1,10.16,0.0,1,2.5031,market_food,shock,narrow,0.2857,0.3768,0.8316,0.0,37.11,0.0,1.0,0.0,0.2184,0.1585,model_driven_peak,0.4966,medium,not_event_validated,0,
Japan,3,2025-07,2025-07-31,38.73,1.62,1,1.62,4.5,1,1.99,market_food,shock,narrow,0.2857,0.3885,0.8316,0.0,38.73,0.0,1.0,0.0,0.2394,0.1491,model_driven_peak,0.4966,medium,not_event_validated,0,
Nigeria,1,2025-07,2025-07-31,75.6,3.46,1,12.21,3.46,6,4.964,market_food,governance,broad,0.8571,0.2025,0.8143,0.0,59.948,15.652,0.793,0.207,0.2394,0.0,model_driven_peak,0.7076,high,not_event_validated,0,
Nigeria,2,2026-02,2026-02-28,78.48,0.15,1,0.15,19.79,1,3.9658,market_food,event,broad,0.7143,0.1951,0.8143,0.0,60.92,17.56,0.7762,0.2238,0.2189,0.0,weakly_supported_peak,0.7315,high,weakly_supported,1,event_020
Nigeria,3,2026-01,2026-01-31,78.33,0.0,1,12.63,0.0,1,3.4093,market_food,event,broad,0.8571,0.1955,0.8143,0.0,60.675,17.655,0.7746,0.2254,0.2323,0.0,weakly_supported_peak,0.7719,high,weakly_supported,1,event_020
Poland,1,2026-02,2026-02-28,54.86,4.8,1,4.8,12.1,1,5.515,market_food,shock,narrow,0.4286,0.2852,0.7949,0.0,54.86,0.0,1.0,0.0,0.2189,0.0663,model_driven_peak,0.5872,medium,weakly_supported,1,event_018
Poland,2,2025-08,2025-08-31,48.19,2.36,1,2.36,6.17,6,2.7955,market_food,shock,broad,0.5714,0.2706,0.7949,0.0,48.19,0.0,1.0,0.0,0.2284,0.0422,model_driven_peak,0.5678,medium,not_event_validated,0,
Poland,3,2026-03,2026-03-31,42.76,0.0,1,0.0,13.38,1,2.5346,market_food,shock,broad,0.5714,0.2095,0.7949,0.0,42.76,0.0,1.0,0.0,0.1615,0.048,model_driven_peak,0.6272,medium,weakly_supported,1,event_018
Russia,1,2026-02,2026-02-28,74.24,5.88,1,5.88,13.24,6,6.496,market_food,event,broad,0.7143,0.1865,0.8105,0.0,60.92,13.32,0.8206,0.1794,0.2189,0.0,model_driven_peak,0.7188,high,weakly_supported,1,event_010
Russia,2,2025-08,2025-08-31,73.06,0.0,1,0.0,16.02,1,3.2336,market_food,event,broad,0.7143,0.2,0.8105,0.0,58.841,14.219,0.8054,0.1946,0.2284,0.0,model_driven_peak,0.6634,medium,not_event_validated,0,
Russia,3,2025-07,2025-07-31,73.1,0.04,1,11.6,0.04,1,3.179,market_food,governance,broad,0.8571,0.2119,0.8105,0.0,59.948,13.152,0.8201,0.1799,0.2394,0.0,model_driven_peak,0.6995,high,not_event_validated,0,
Taiwan,1,2025-08,2025-08-31,61.92,5.78,1,5.78,6.56,6,5.419,market_food,shock,broad,0.7143,0.2499,0.806,0.0,58.841,3.079,0.9503,0.0497,0.2284,0.0215,model_driven_peak,0.6237,medium,not_event_validated,0,
Taiwan,2,2026-03,2026-03-31,59.93,0.0,1,0.0,18.34,1,3.4503,market_food,event,broad,0.7143,0.2206,0.806,0.0,49.048,10.882,0.8184,0.1816,0.1615,0.0591,model_driven_peak,0.7183,high,weakly_supported,1,event_016
Taiwan,3,2026-02,2026-02-28,61.96,2.03,1,6.57,2.03,1,2.835,market_food,event,broad,0.7143,0.2298,0.806,0.0,60.92,1.04,0.9832,0.0168,0.2189,0.0109,model_driven_peak,0.6743,high,weakly_supported,1,event_016
Ukraine,1,2026-02,2026-02-28,79.51,7.07,1,7.07,11.46,6,7.1215,market_food,event,broad,1.0,0.1929,0.8065,0.0,60.92,18.59,0.7662,0.2338,0.2189,0.0,weakly_supported_peak,0.8123,high,weakly_supported,1,event_008
Ukraine,2,2025-08,2025-08-31,77.67,2.92,1,2.92,13.16,1,4.264,market_food,event,broad,0.8571,0.1975,0.8065,0.0,58.841,18.829,0.7576,0.2424,0.2284,0.0,model_driven_peak,0.7152,high,not_event_validated,0,
Ukraine,3,2025-07,2025-07-31,74.75,0.0,1,11.46,0.0,1,3.1395,market_food,governance,broad,0.8571,0.1845,0.8065,0.0,59.948,14.802,0.802,0.198,0.2394,0.0,model_driven_peak,0.7034,high,not_event_validated,0,
