feature_id,country,date,cluster,subcluster,feature_name,feature_value
China-2025-05-17-protest_signal,China,2025-05-17,tension,na,protest_signal,52.0
China-2025-05-17-crisis_discourse_signal,China,2025-05-17,tension,na,crisis_discourse_signal,61.4
China-2025-05-17-negativity_signal,China,2025-05-17,tension,na,negativity_signal,58.7
China-2025-05-18-protest_signal,China,2025-05-18,tension,na,protest_signal,51.0
China-2025-05-18-crisis_discourse_signal,China,2025-05-18,tension,na,crisis_discourse_signal,58.1
China-2025-05-18-negativity_signal,China,2025-05-18,tension,na,negativity_signal,57.1
China-2025-05-19-protest_signal,China,2025-05-19,tension,na,protest_signal,54.6
China-2025-05-19-crisis_discourse_signal,China,2025-05-19,tension,na,crisis_discourse_signal,58.4
China-2025-05-19-negativity_signal,China,2025-05-19,tension,na,negativity_signal,53.9
China-2025-05-20-protest_signal,China,2025-05-20,tension,na,protest_signal,54.1
China-2025-05-20-crisis_discourse_signal,China,2025-05-20,tension,na,crisis_discourse_signal,58.2
China-2025-05-20-negativity_signal,China,2025-05-20,tension,na,negativity_signal,54.8
China-2025-05-21-protest_signal,China,2025-05-21,tension,na,protest_signal,56.4
China-2025-05-21-crisis_discourse_signal,China,2025-05-21,tension,na,crisis_discourse_signal,61.2
China-2025-05-21-negativity_signal,China,2025-05-21,tension,na,negativity_signal,57.9
China-2025-05-22-protest_signal,China,2025-05-22,tension,na,protest_signal,54.7
China-2025-05-22-crisis_discourse_signal,China,2025-05-22,tension,na,crisis_discourse_signal,60.7
China-2025-05-22-negativity_signal,China,2025-05-22,tension,na,negativity_signal,59.1
China-2025-05-23-protest_signal,China,2025-05-23,tension,na,protest_signal,53.1
China-2025-05-23-crisis_discourse_signal,China,2025-05-23,tension,na,crisis_discourse_signal,59.0
China-2025-05-23-negativity_signal,China,2025-05-23,tension,na,negativity_signal,58.6
China-2025-05-24-protest_signal,China,2025-05-24,tension,na,protest_signal,50.5
China-2025-05-24-crisis_discourse_signal,China,2025-05-24,tension,na,crisis_discourse_signal,56.3
China-2025-05-24-negativity_signal,China,2025-05-24,tension,na,negativity_signal,53.5
China-2025-05-25-protest_signal,China,2025-05-25,tension,na,protest_signal,50.8
China-2025-05-25-crisis_discourse_signal,China,2025-05-25,tension,na,crisis_discourse_signal,58.4
China-2025-05-25-negativity_signal,China,2025-05-25,tension,na,negativity_signal,53.8
China-2025-05-26-protest_signal,China,2025-05-26,tension,na,protest_signal,51.2
China-2025-05-26-crisis_discourse_signal,China,2025-05-26,tension,na,crisis_discourse_signal,55.1
China-2025-05-26-negativity_signal,China,2025-05-26,tension,na,negativity_signal,56.3
China-2025-05-27-protest_signal,China,2025-05-27,tension,na,protest_signal,51.5
China-2025-05-27-crisis_discourse_signal,China,2025-05-27,tension,na,crisis_discourse_signal,60.4
China-2025-05-27-negativity_signal,China,2025-05-27,tension,na,negativity_signal,55.9
China-2025-05-28-protest_signal,China,2025-05-28,tension,na,protest_signal,54.8
China-2025-05-28-crisis_discourse_signal,China,2025-05-28,tension,na,crisis_discourse_signal,62.5
China-2025-05-28-negativity_signal,China,2025-05-28,tension,na,negativity_signal,57.3
China-2025-05-29-protest_signal,China,2025-05-29,tension,na,protest_signal,55.2
China-2025-05-29-crisis_discourse_signal,China,2025-05-29,tension,na,crisis_discourse_signal,61.6
China-2025-05-29-negativity_signal,China,2025-05-29,tension,na,negativity_signal,58.7
China-2025-05-30-protest_signal,China,2025-05-30,tension,na,protest_signal,55.1
China-2025-05-30-crisis_discourse_signal,China,2025-05-30,tension,na,crisis_discourse_signal,57.8
China-2025-05-30-negativity_signal,China,2025-05-30,tension,na,negativity_signal,54.3
China-2025-05-31-protest_signal,China,2025-05-31,tension,na,protest_signal,53.7
China-2025-05-31-crisis_discourse_signal,China,2025-05-31,tension,na,crisis_discourse_signal,59.1
China-2025-05-31-negativity_signal,China,2025-05-31,tension,na,negativity_signal,56.2
China-2025-06-01-protest_signal,China,2025-06-01,tension,na,protest_signal,49.3
China-2025-06-01-crisis_discourse_signal,China,2025-06-01,tension,na,crisis_discourse_signal,56.9
China-2025-06-01-negativity_signal,China,2025-06-01,tension,na,negativity_signal,52.0
China-2025-06-02-protest_signal,China,2025-06-02,tension,na,protest_signal,50.0
China-2025-06-02-crisis_discourse_signal,China,2025-06-02,tension,na,crisis_discourse_signal,54.3
China-2025-06-02-negativity_signal,China,2025-06-02,tension,na,negativity_signal,54.1
China-2025-06-03-protest_signal,China,2025-06-03,tension,na,protest_signal,51.2
China-2025-06-03-crisis_discourse_signal,China,2025-06-03,tension,na,crisis_discourse_signal,58.2
China-2025-06-03-negativity_signal,China,2025-06-03,tension,na,negativity_signal,52.7
China-2025-06-04-protest_signal,China,2025-06-04,tension,na,protest_signal,51.3
China-2025-06-04-crisis_discourse_signal,China,2025-06-04,tension,na,crisis_discourse_signal,56.7
China-2025-06-04-negativity_signal,China,2025-06-04,tension,na,negativity_signal,56.7
China-2025-06-05-protest_signal,China,2025-06-05,tension,na,protest_signal,53.6
China-2025-06-05-crisis_discourse_signal,China,2025-06-05,tension,na,crisis_discourse_signal,60.1
China-2025-06-05-negativity_signal,China,2025-06-05,tension,na,negativity_signal,55.0
China-2025-06-06-protest_signal,China,2025-06-06,tension,na,protest_signal,51.9
China-2025-06-06-crisis_discourse_signal,China,2025-06-06,tension,na,crisis_discourse_signal,58.5
China-2025-06-06-negativity_signal,China,2025-06-06,tension,na,negativity_signal,53.6
China-2025-06-07-protest_signal,China,2025-06-07,tension,na,protest_signal,51.1
China-2025-06-07-crisis_discourse_signal,China,2025-06-07,tension,na,crisis_discourse_signal,53.7
China-2025-06-07-negativity_signal,China,2025-06-07,tension,na,negativity_signal,52.2
China-2025-06-08-protest_signal,China,2025-06-08,tension,na,protest_signal,48.2
China-2025-06-08-crisis_discourse_signal,China,2025-06-08,tension,na,crisis_discourse_signal,55.1
China-2025-06-08-negativity_signal,China,2025-06-08,tension,na,negativity_signal,52.0
China-2025-06-09-protest_signal,China,2025-06-09,tension,na,protest_signal,50.0
China-2025-06-09-crisis_discourse_signal,China,2025-06-09,tension,na,crisis_discourse_signal,52.6
China-2025-06-09-negativity_signal,China,2025-06-09,tension,na,negativity_signal,53.6
China-2025-06-10-protest_signal,China,2025-06-10,tension,na,protest_signal,47.9
China-2025-06-10-crisis_discourse_signal,China,2025-06-10,tension,na,crisis_discourse_signal,57.0
China-2025-06-10-negativity_signal,China,2025-06-10,tension,na,negativity_signal,51.3
China-2025-06-11-protest_signal,China,2025-06-11,tension,na,protest_signal,49.4
China-2025-06-11-crisis_discourse_signal,China,2025-06-11,tension,na,crisis_discourse_signal,57.9
China-2025-06-11-negativity_signal,China,2025-06-11,tension,na,negativity_signal,51.5
China-2025-06-12-protest_signal,China,2025-06-12,tension,na,protest_signal,50.5
China-2025-06-12-crisis_discourse_signal,China,2025-06-12,tension,na,crisis_discourse_signal,56.3
China-2025-06-12-negativity_signal,China,2025-06-12,tension,na,negativity_signal,55.6
China-2025-06-13-protest_signal,China,2025-06-13,tension,na,protest_signal,50.9
China-2025-06-13-crisis_discourse_signal,China,2025-06-13,tension,na,crisis_discourse_signal,55.2
China-2025-06-13-negativity_signal,China,2025-06-13,tension,na,negativity_signal,54.0
China-2025-06-14-protest_signal,China,2025-06-14,tension,na,protest_signal,47.4
China-2025-06-14-crisis_discourse_signal,China,2025-06-14,tension,na,crisis_discourse_signal,53.5
China-2025-06-14-negativity_signal,China,2025-06-14,tension,na,negativity_signal,49.1
China-2025-06-15-protest_signal,China,2025-06-15,tension,na,protest_signal,45.0
China-2025-06-15-crisis_discourse_signal,China,2025-06-15,tension,na,crisis_discourse_signal,54.1
China-2025-06-15-negativity_signal,China,2025-06-15,tension,na,negativity_signal,50.4
China-2025-06-16-protest_signal,China,2025-06-16,tension,na,protest_signal,48.9
China-2025-06-16-crisis_discourse_signal,China,2025-06-16,tension,na,crisis_discourse_signal,50.2
China-2025-06-16-negativity_signal,China,2025-06-16,tension,na,negativity_signal,51.3
China-2025-06-17-protest_signal,China,2025-06-17,tension,na,protest_signal,50.0
China-2025-06-17-crisis_discourse_signal,China,2025-06-17,tension,na,crisis_discourse_signal,55.0
China-2025-06-17-negativity_signal,China,2025-06-17,tension,na,negativity_signal,53.2
China-2025-06-18-protest_signal,China,2025-06-18,tension,na,protest_signal,50.3
China-2025-06-18-crisis_discourse_signal,China,2025-06-18,tension,na,crisis_discourse_signal,53.5
China-2025-06-18-negativity_signal,China,2025-06-18,tension,na,negativity_signal,51.0
China-2025-06-19-protest_signal,China,2025-06-19,tension,na,protest_signal,49.9
China-2025-06-19-crisis_discourse_signal,China,2025-06-19,tension,na,crisis_discourse_signal,54.9
China-2025-06-19-negativity_signal,China,2025-06-19,tension,na,negativity_signal,51.5
China-2025-06-20-protest_signal,China,2025-06-20,tension,na,protest_signal,48.2
China-2025-06-20-crisis_discourse_signal,China,2025-06-20,tension,na,crisis_discourse_signal,54.9
China-2025-06-20-negativity_signal,China,2025-06-20,tension,na,negativity_signal,53.5
China-2025-06-21-protest_signal,China,2025-06-21,tension,na,protest_signal,46.3
China-2025-06-21-crisis_discourse_signal,China,2025-06-21,tension,na,crisis_discourse_signal,50.5
China-2025-06-21-negativity_signal,China,2025-06-21,tension,na,negativity_signal,48.4
China-2025-06-22-protest_signal,China,2025-06-22,tension,na,protest_signal,46.0
China-2025-06-22-crisis_discourse_signal,China,2025-06-22,tension,na,crisis_discourse_signal,48.4
China-2025-06-22-negativity_signal,China,2025-06-22,tension,na,negativity_signal,46.8
China-2025-06-23-protest_signal,China,2025-06-23,tension,na,protest_signal,47.8
China-2025-06-23-crisis_discourse_signal,China,2025-06-23,tension,na,crisis_discourse_signal,52.2
China-2025-06-23-negativity_signal,China,2025-06-23,tension,na,negativity_signal,50.6
China-2025-06-24-protest_signal,China,2025-06-24,tension,na,protest_signal,47.4
China-2025-06-24-crisis_discourse_signal,China,2025-06-24,tension,na,crisis_discourse_signal,51.4
China-2025-06-24-negativity_signal,China,2025-06-24,tension,na,negativity_signal,49.2
China-2025-06-25-protest_signal,China,2025-06-25,tension,na,protest_signal,48.2
China-2025-06-25-crisis_discourse_signal,China,2025-06-25,tension,na,crisis_discourse_signal,51.8
China-2025-06-25-negativity_signal,China,2025-06-25,tension,na,negativity_signal,50.0
China-2025-06-26-protest_signal,China,2025-06-26,tension,na,protest_signal,49.1
China-2025-06-26-crisis_discourse_signal,China,2025-06-26,tension,na,crisis_discourse_signal,51.8
China-2025-06-26-negativity_signal,China,2025-06-26,tension,na,negativity_signal,49.7
China-2025-06-27-protest_signal,China,2025-06-27,tension,na,protest_signal,49.0
China-2025-06-27-crisis_discourse_signal,China,2025-06-27,tension,na,crisis_discourse_signal,54.7
China-2025-06-27-negativity_signal,China,2025-06-27,tension,na,negativity_signal,48.5
China-2025-06-28-protest_signal,China,2025-06-28,tension,na,protest_signal,43.9
China-2025-06-28-crisis_discourse_signal,China,2025-06-28,tension,na,crisis_discourse_signal,49.7
China-2025-06-28-negativity_signal,China,2025-06-28,tension,na,negativity_signal,46.5
China-2025-06-29-protest_signal,China,2025-06-29,tension,na,protest_signal,43.5
China-2025-06-29-crisis_discourse_signal,China,2025-06-29,tension,na,crisis_discourse_signal,52.4
China-2025-06-29-negativity_signal,China,2025-06-29,tension,na,negativity_signal,46.6
China-2025-06-30-protest_signal,China,2025-06-30,tension,na,protest_signal,46.8
China-2025-06-30-crisis_discourse_signal,China,2025-06-30,tension,na,crisis_discourse_signal,50.1
China-2025-06-30-negativity_signal,China,2025-06-30,tension,na,negativity_signal,49.3
China-2025-07-01-protest_signal,China,2025-07-01,tension,na,protest_signal,45.3
China-2025-07-01-crisis_discourse_signal,China,2025-07-01,tension,na,crisis_discourse_signal,54.1
China-2025-07-01-negativity_signal,China,2025-07-01,tension,na,negativity_signal,50.5
China-2025-07-02-protest_signal,China,2025-07-02,tension,na,protest_signal,50.0
China-2025-07-02-crisis_discourse_signal,China,2025-07-02,tension,na,crisis_discourse_signal,53.2
China-2025-07-02-negativity_signal,China,2025-07-02,tension,na,negativity_signal,52.8
China-2025-07-03-protest_signal,China,2025-07-03,tension,na,protest_signal,50.6
China-2025-07-03-crisis_discourse_signal,China,2025-07-03,tension,na,crisis_discourse_signal,52.5
China-2025-07-03-negativity_signal,China,2025-07-03,tension,na,negativity_signal,52.1
China-2025-07-04-protest_signal,China,2025-07-04,tension,na,protest_signal,49.9
China-2025-07-04-crisis_discourse_signal,China,2025-07-04,tension,na,crisis_discourse_signal,55.3
China-2025-07-04-negativity_signal,China,2025-07-04,tension,na,negativity_signal,51.5
China-2025-07-05-protest_signal,China,2025-07-05,tension,na,protest_signal,44.4
China-2025-07-05-crisis_discourse_signal,China,2025-07-05,tension,na,crisis_discourse_signal,53.2
China-2025-07-05-negativity_signal,China,2025-07-05,tension,na,negativity_signal,46.8
China-2025-07-06-protest_signal,China,2025-07-06,tension,na,protest_signal,45.7
China-2025-07-06-crisis_discourse_signal,China,2025-07-06,tension,na,crisis_discourse_signal,52.1
China-2025-07-06-negativity_signal,China,2025-07-06,tension,na,negativity_signal,47.6
China-2025-07-07-protest_signal,China,2025-07-07,tension,na,protest_signal,44.5
China-2025-07-07-crisis_discourse_signal,China,2025-07-07,tension,na,crisis_discourse_signal,49.8
China-2025-07-07-negativity_signal,China,2025-07-07,tension,na,negativity_signal,47.2
China-2025-07-08-protest_signal,China,2025-07-08,tension,na,protest_signal,46.7
China-2025-07-08-crisis_discourse_signal,China,2025-07-08,tension,na,crisis_discourse_signal,53.9
China-2025-07-08-negativity_signal,China,2025-07-08,tension,na,negativity_signal,48.7
China-2025-07-09-protest_signal,China,2025-07-09,tension,na,protest_signal,46.7
China-2025-07-09-crisis_discourse_signal,China,2025-07-09,tension,na,crisis_discourse_signal,54.8
China-2025-07-09-negativity_signal,China,2025-07-09,tension,na,negativity_signal,53.9
China-2025-07-10-protest_signal,China,2025-07-10,tension,na,protest_signal,48.4
China-2025-07-10-crisis_discourse_signal,China,2025-07-10,tension,na,crisis_discourse_signal,52.8
China-2025-07-10-negativity_signal,China,2025-07-10,tension,na,negativity_signal,50.2
China-2025-07-11-protest_signal,China,2025-07-11,tension,na,protest_signal,50.2
China-2025-07-11-crisis_discourse_signal,China,2025-07-11,tension,na,crisis_discourse_signal,53.3
China-2025-07-11-negativity_signal,China,2025-07-11,tension,na,negativity_signal,49.7
China-2025-07-12-protest_signal,China,2025-07-12,tension,na,protest_signal,47.5
China-2025-07-12-crisis_discourse_signal,China,2025-07-12,tension,na,crisis_discourse_signal,50.4
China-2025-07-12-negativity_signal,China,2025-07-12,tension,na,negativity_signal,48.2
China-2025-07-13-protest_signal,China,2025-07-13,tension,na,protest_signal,45.8
China-2025-07-13-crisis_discourse_signal,China,2025-07-13,tension,na,crisis_discourse_signal,52.8
China-2025-07-13-negativity_signal,China,2025-07-13,tension,na,negativity_signal,47.8
China-2025-07-14-protest_signal,China,2025-07-14,tension,na,protest_signal,46.9
China-2025-07-14-crisis_discourse_signal,China,2025-07-14,tension,na,crisis_discourse_signal,54.2
China-2025-07-14-negativity_signal,China,2025-07-14,tension,na,negativity_signal,47.4
China-2025-07-15-protest_signal,China,2025-07-15,tension,na,protest_signal,48.4
China-2025-07-15-crisis_discourse_signal,China,2025-07-15,tension,na,crisis_discourse_signal,56.3
China-2025-07-15-negativity_signal,China,2025-07-15,tension,na,negativity_signal,51.9
China-2025-07-16-protest_signal,China,2025-07-16,tension,na,protest_signal,50.6
China-2025-07-16-crisis_discourse_signal,China,2025-07-16,tension,na,crisis_discourse_signal,55.1
China-2025-07-16-negativity_signal,China,2025-07-16,tension,na,negativity_signal,54.2
China-2025-07-17-protest_signal,China,2025-07-17,tension,na,protest_signal,52.8
China-2025-07-17-crisis_discourse_signal,China,2025-07-17,tension,na,crisis_discourse_signal,56.6
China-2025-07-17-negativity_signal,China,2025-07-17,tension,na,negativity_signal,52.4
China-2025-07-18-protest_signal,China,2025-07-18,tension,na,protest_signal,50.4
China-2025-07-18-crisis_discourse_signal,China,2025-07-18,tension,na,crisis_discourse_signal,56.8
China-2025-07-18-negativity_signal,China,2025-07-18,tension,na,negativity_signal,51.7
China-2025-07-19-protest_signal,China,2025-07-19,tension,na,protest_signal,49.3
China-2025-07-19-crisis_discourse_signal,China,2025-07-19,tension,na,crisis_discourse_signal,54.6
China-2025-07-19-negativity_signal,China,2025-07-19,tension,na,negativity_signal,51.7
China-2025-07-20-protest_signal,China,2025-07-20,tension,na,protest_signal,46.5
China-2025-07-20-crisis_discourse_signal,China,2025-07-20,tension,na,crisis_discourse_signal,53.1
China-2025-07-20-negativity_signal,China,2025-07-20,tension,na,negativity_signal,51.1
China-2025-07-21-protest_signal,China,2025-07-21,tension,na,protest_signal,51.1
China-2025-07-21-crisis_discourse_signal,China,2025-07-21,tension,na,crisis_discourse_signal,53.8
China-2025-07-21-negativity_signal,China,2025-07-21,tension,na,negativity_signal,52.0
China-2025-07-22-protest_signal,China,2025-07-22,tension,na,protest_signal,50.3
China-2025-07-22-crisis_discourse_signal,China,2025-07-22,tension,na,crisis_discourse_signal,54.3
China-2025-07-22-negativity_signal,China,2025-07-22,tension,na,negativity_signal,55.3
China-2025-07-23-protest_signal,China,2025-07-23,tension,na,protest_signal,50.5
China-2025-07-23-crisis_discourse_signal,China,2025-07-23,tension,na,crisis_discourse_signal,58.2
China-2025-07-23-negativity_signal,China,2025-07-23,tension,na,negativity_signal,55.7
China-2025-07-24-protest_signal,China,2025-07-24,tension,na,protest_signal,54.3
China-2025-07-24-crisis_discourse_signal,China,2025-07-24,tension,na,crisis_discourse_signal,60.3
China-2025-07-24-negativity_signal,China,2025-07-24,tension,na,negativity_signal,57.6
China-2025-07-25-protest_signal,China,2025-07-25,tension,na,protest_signal,54.1
China-2025-07-25-crisis_discourse_signal,China,2025-07-25,tension,na,crisis_discourse_signal,58.3
China-2025-07-25-negativity_signal,China,2025-07-25,tension,na,negativity_signal,56.4
China-2025-07-26-protest_signal,China,2025-07-26,tension,na,protest_signal,49.6
China-2025-07-26-crisis_discourse_signal,China,2025-07-26,tension,na,crisis_discourse_signal,57.2
China-2025-07-26-negativity_signal,China,2025-07-26,tension,na,negativity_signal,51.6
China-2025-07-27-protest_signal,China,2025-07-27,tension,na,protest_signal,47.9
China-2025-07-27-crisis_discourse_signal,China,2025-07-27,tension,na,crisis_discourse_signal,55.3
China-2025-07-27-negativity_signal,China,2025-07-27,tension,na,negativity_signal,52.8
China-2025-07-28-protest_signal,China,2025-07-28,tension,na,protest_signal,49.9
China-2025-07-28-crisis_discourse_signal,China,2025-07-28,tension,na,crisis_discourse_signal,53.8
China-2025-07-28-negativity_signal,China,2025-07-28,tension,na,negativity_signal,53.6
China-2025-07-29-protest_signal,China,2025-07-29,tension,na,protest_signal,51.6
China-2025-07-29-crisis_discourse_signal,China,2025-07-29,tension,na,crisis_discourse_signal,56.3
China-2025-07-29-negativity_signal,China,2025-07-29,tension,na,negativity_signal,57.1
China-2025-07-30-protest_signal,China,2025-07-30,tension,na,protest_signal,55.0
China-2025-07-30-crisis_discourse_signal,China,2025-07-30,tension,na,crisis_discourse_signal,60.8
China-2025-07-30-negativity_signal,China,2025-07-30,tension,na,negativity_signal,55.0
China-2025-07-31-protest_signal,China,2025-07-31,tension,na,protest_signal,52.7
China-2025-07-31-crisis_discourse_signal,China,2025-07-31,tension,na,crisis_discourse_signal,60.5
China-2025-07-31-negativity_signal,China,2025-07-31,tension,na,negativity_signal,55.1
China-2025-08-01-protest_signal,China,2025-08-01,tension,na,protest_signal,53.1
China-2025-08-01-crisis_discourse_signal,China,2025-08-01,tension,na,crisis_discourse_signal,59.0
China-2025-08-01-negativity_signal,China,2025-08-01,tension,na,negativity_signal,57.2
China-2025-08-02-protest_signal,China,2025-08-02,tension,na,protest_signal,52.2
China-2025-08-02-crisis_discourse_signal,China,2025-08-02,tension,na,crisis_discourse_signal,57.1
China-2025-08-02-negativity_signal,China,2025-08-02,tension,na,negativity_signal,56.9
China-2025-08-03-protest_signal,China,2025-08-03,tension,na,protest_signal,51.4
China-2025-08-03-crisis_discourse_signal,China,2025-08-03,tension,na,crisis_discourse_signal,55.3
China-2025-08-03-negativity_signal,China,2025-08-03,tension,na,negativity_signal,54.5
China-2025-08-04-protest_signal,China,2025-08-04,tension,na,protest_signal,51.9
China-2025-08-04-crisis_discourse_signal,China,2025-08-04,tension,na,crisis_discourse_signal,58.9
China-2025-08-04-negativity_signal,China,2025-08-04,tension,na,negativity_signal,55.8
China-2025-08-05-protest_signal,China,2025-08-05,tension,na,protest_signal,52.0
China-2025-08-05-crisis_discourse_signal,China,2025-08-05,tension,na,crisis_discourse_signal,61.3
China-2025-08-05-negativity_signal,China,2025-08-05,tension,na,negativity_signal,58.6
China-2025-08-06-protest_signal,China,2025-08-06,tension,na,protest_signal,56.1
China-2025-08-06-crisis_discourse_signal,China,2025-08-06,tension,na,crisis_discourse_signal,63.5
China-2025-08-06-negativity_signal,China,2025-08-06,tension,na,negativity_signal,57.3
China-2025-08-07-protest_signal,China,2025-08-07,tension,na,protest_signal,53.9
China-2025-08-07-crisis_discourse_signal,China,2025-08-07,tension,na,crisis_discourse_signal,62.8
China-2025-08-07-negativity_signal,China,2025-08-07,tension,na,negativity_signal,58.3
